"","municipios","coords.lon","coords.lat","lon","lat","municipios2"
"104"," Lazaro Cardenas, Michoacan De Ocampo",-102.19435,  17.95676,-102.21935,17.88176," Lazaro Cardenas,
Michoacan De Ocampo"
"105"," Leon, Guanajuato",-101.68596,  21.12501,-101.71096,21.05001," Leon,
Guanajuato"
"106"," Lerma, Mexico", -99.52447,  19.29134, -99.54947,19.21634," Lerma,
Mexico"
"107"," Libres, Puebla", -97.68750,  19.46532, -97.71250,19.39032," Libres,
Puebla"
"108"," Linares, Nuevo Leon", -99.56178,  24.86395, -99.58678,24.78895," Linares,
Nuevo Leon"
"109"," Loreto, Zacatecas",-101.98902,  22.27154,-102.01402,22.19654," Loreto,
Zacatecas"
"110"," Los Cabos, Baja California Sur",-109.91674,  22.89053,-109.94174,22.81553," Los Cabos,
Baja California Sur"
"111"," Los Mochis, Sinaloa",-108.98588,  25.79047,-109.01088,25.71547," Los Mochis,
Sinaloa"
"112"," Malinalco, Mexico", -99.49358,  18.94839, -99.51858,18.87339," Malinalco,
Mexico"
"113"," Manzanillo, Colima",-104.33846,  19.11381,-104.36346,19.03881," Manzanillo,
Colima"
"114"," Matamoros, Tamaulipas", -97.50274,  25.86903, -97.52774,25.79403," Matamoros,
Tamaulipas"
"115"," Mazatlan, Sinaloa",-106.41114,  23.24941,-106.43614,23.17441," Mazatlan,
Sinaloa"
"116"," Mecayapan, Veracruz De Ignacio De La Llave", -94.83827,  18.22103, -94.86327,18.14603," Mecayapan,
Veracruz De Ignacio De La Llave"
"117"," Merida, Yucatan", -89.59259,  20.96737, -89.61759,20.89237," Merida,
Yucatan"
"118"," Metepec, Mexico", -99.59855,  19.25289, -99.62355,19.17789," Metepec,
Mexico"
"119"," Mexicali, Baja California",-115.45226,  32.62454,-115.52059,32.55628," Mexicali,
Baja California"
"120"," Miguel Aleman, Tamaulipas", -99.05711,  26.18088, -99.08211,26.10588," Miguel Aleman,
Tamaulipas"
"121"," Miguel Hidalgo, Ciudad De Mexico", -99.20840,  19.43066, -99.23340,19.35566," Miguel Hidalgo,
Ciudad De Mexico"
"122"," Minatitlan, Veracruz De Ignacio De La Llave", -94.54661,  17.99392, -94.57161,17.91892," Minatitlan,
Veracruz De Ignacio De La Llave"
"123"," Montemorelos, Nuevo Leon", -99.83630,  25.18892, -99.86130,25.11392," Montemorelos,
Nuevo Leon"
